Vehicle_ID,Start_Time (s),Start_Intersection,Start_Direction,End_Time (s),End_Intersection,End_Direction
1495,815.7,5.0,2.0,816.5,5.0,2.0
1497,820.9,1.0,3.0,822.6,1.0,3.0
1505,820.3,5.0,3.0,821.1,5.0,3.0
1507,927.3,3.0,1.0,975.2,5.0,2.0
1523,828.4,4.0,3.0,883.6,5.0,1.0
1524,830.7,4.0,1.0,858.1,5.0,2.0
1525,830.9,5.0,3.0,831.8,5.0,3.0
1538,845.6,5.0,2.0,847.0,5.0,2.0
1540,908.3,1.0,2.0,911.4,1.0,2.0
1543,863.4,1.0,2.0,967.2,5.0,1.0
1549,866.0,3.0,3.0,896.7,5.0,1.0
1558,919.5,1.0,1.0,1000.5,5.0,2.0
1621,891.3,1.0,3.0,980.7,5.0,1.0
1622,889.1,2.0,1.0,893.2,2.0,1.0
1640,897.3,1.0,3.0,978.9,5.0,1.0
1681,136.9,1.0,2.0,141.1,1.0,2.0
1689,224.4,1.0,1.0,373.9,5.0,1.0
1708,133.8,1.0,1.0,273.9,5.0,1.0
1715,237.4,1.0,2.0,241.1,1.0,2.0
1726,328.1,5.0,3.0,328.5,5.0,3.0
1728,341.4,5.0,3.0,342.0,5.0,3.0
