time,type,intersection,direction,turning_left,vehicle
188.85,Resume,5,W,null,279
188.85,WaitUntil,5,W,true,279
189.62,Resume,1,S,null,24
189.62,WaitUntil,1,S,false,24
189.62,Enter,5,W,null,280
189.62,Resume,5,W,null,280
189.62,WaitUntil,5,W,true,280
190.76,Resume,5,S,null,221
190.76,WaitUntil,5,S,false,221
191.01,Enter,5,W,null,281
191.01,Resume,5,W,null,281
191.01,WaitUntil,5,W,true,281
192.11,Resume,5,S,null,1
192.11,WaitUntil,5,S,false,1
192.41,Resume,5,S,null,2
192.41,WaitUntil,5,S,true,2
192.95,Exit,5,N,null,339
193.01,Resume,5,S,null,118
193.01,WaitUntil,5,S,false,118
193.31,Resume,5,S,null,119
193.31,WaitUntil,5,S,false,119
193.55,Resume,1,S,null,25
193.55,WaitUntil,1,S,false,25
193.61,Resume,5,S,null,120
193.61,WaitUntil,5,S,false,120
194.21,Resume,5,S,null,172
194.21,WaitUntil,5,S,true,172
194.51,Resume,5,S,null,173
194.51,WaitUntil,5,S,false,173
194.62,Resume,2,S,null,177
194.62,WaitUntil,2,S,false,177
194.81,Resume,5,S,null,174
194.81,WaitUntil,5,S,true,174
194.92,Resume,2,S,null,178
194.92,WaitUntil,2,S,false,178
195.22,Resume,2,S,null,179
195.22,WaitUntil,2,S,false,179
195.52,Resume,2,S,null,180
195.52,WaitUntil,2,S,false,180
196.22,Resume,1,S,null,26
196.22,WaitUntil,1,S,true,26
196.43,Enter,1,W,null,131
196.43,Resume,1,W,null,131
196.43,WaitUntil,1,W,true,131
197.19,Resume,5,S,null,175
197.19,WaitUntil,5,S,false,175
199.60,TurnRedThrough,3,E,null,null
199.60,TurnGreenThrough,3,N,null,null
199.60,TurnRedThrough,3,W,null,null
199.80,TurnGreenLeft,5,N,null,null
199.80,TurnRedThrough,5,W,null,null
199.80,TurnRedThrough,5,E,null,null
199.80,TurnRedLeft,5,E,null,null
199.90,Resume,null,null,null,5
199.90,CheckWait,null,null,null,null
200.10,Resume,null,null,null,207
200.10,CheckWait,null,null,null,null
200.10,Exit,5,W,null,207
200.20,TurnGreenThrough,2,N,null,null
200.20,TurnRedThrough,2,E,null,null
200.20,TurnRedThrough,2,W,null,null
200.40,Resume,null,null,null,2
200.40,CheckWait,null,null,null,null
200.40,Exit,5,W,null,2
200.50,Resume,null,null,null,6
200.50,CheckWait,null,null,null,null
200.70,Resume,null,null,null,172
200.70,CheckWait,null,null,null,null
200.70,Exit,5,W,null,172
200.80,TurnGreenLeft,1,N,null,null
200.80,TurnRedThrough,1,W,null,null
200.80,TurnRedThrough,1,E,null,null
200.80,Resume,null,null,null,7
200.80,CheckWait,null,null,null,null
201.00,Resume,null,null,null,174
201.00,CheckWait,null,null,null,null
201.00,Exit,5,W,null,174
201.10,Resume,null,null,null,8
201.10,CheckWait,null,null,null,null
