time,type,intersection,direction,vehicle
201.10,Exit,1,W,35
201.10,Departure,2,S,311
201.10,Departure,3,S,16
201.30,Exit,5,W,429
201.32,Arrival,1,W,321
201.40,Exit,1,W,36
201.40,Departure,2,S,312
201.40,Departure,3,S,17
201.60,Exit,5,W,430
201.70,Exit,1,W,43
201.70,Departure,2,S,313
201.70,Departure,3,S,18
201.83,Arrival,5,E,695
201.90,Exit,5,W,431
202.00,Exit,1,W,48
202.00,Departure,2,S,315
202.00,Departure,3,S,19
202.20,Exit,5,W,372
202.30,Exit,1,W,58
202.30,Departure,2,S,317
202.30,Departure,3,S,22
202.50,Exit,5,W,376
202.50,Arrival,1,S,65
202.54,Arrival,5,S,379
202.60,Exit,1,W,61
202.60,Departure,2,S,380
202.60,Departure,3,S,23
202.90,Departure,2,S,381
202.90,Departure,3,S,24
203.20,Departure,2,S,382
203.20,Departure,3,S,26
203.50,Departure,2,S,383
203.50,Departure,3,S,27
203.80,Departure,2,S,384
203.80,Departure,3,S,30
204.06,Arrival,1,W,322
204.10,Departure,2,S,385
204.10,Departure,3,S,33
204.40,Departure,3,S,34
204.47,Arrival,1,S,66
204.47,Exit,1,W,66
205.42,Arrival,2,S,386
205.42,Departure,2,S,386
207.99,Arrival,1,W,323
208.13,Arrival,3,E,540
209.64,Arrival,1,S,67
209.64,Exit,1,W,67
209.94,Arrival,1,S,68
210.21,Arrival,5,W,613
210.42,Arrival,5,E,696
211.40,RedSouth,1,W,null
212.20,RedSouth,5,W,null
212.37,Arrival,3,S,433
212.37,Exit,3,E,433
212.67,Arrival,3,S,434
212.67,Departure,3,S,434
212.97,Arrival,3,S,435
212.97,Departure,3,S,435
213.27,Arrival,3,S,436
213.27,Departure,3,S,436
213.60,GreenSouth,1,N,null
213.60,Departure,1,S,42
213.60,Exit,1,E,47
213.90,Departure,1,S,44
213.90,Exit,1,E,50
214.20,Departure,1,S,45
214.20,Exit,1,E,56
214.50,Departure,1,S,46
214.50,Arrival,1,S,69
214.64,Arrival,2,W,438
214.80,Departure,1,S,49
214.88,Arrival,1,S,70
215.10,Departure,1,S,51
215.40,Departure,1,S,52
215.70,Departure,1,S,53
215.80,GreenSouth,5,N,null
215.80,Departure,5,S,432
215.80,Exit,5,E,2
216.00,Departure,1,S,54
216.10,Departure,5,S,1
216.10,Exit,5,E,309
216.30,Departure,1,S,55
216.40,Departure,5,S,4
216.58,Arrival,3,W,484
216.60,Departure,1,S,57
216.70,Departure,5,S,5
216.90,Departure,1,S,59
217.00,Departure,5,S,373
217.20,Departure,1,S,60
217.30,Departure,5,S,374
217.50,Departure,1,S,62
217.60,Departure,5,S,375
217.80,Departure,1,S,63
217.90,Departure,5,S,377
218.07,Arrival,1,S,71
218.07,Exit,1,E,71
218.10,Departure,1,S,64
218.20,Departure,5,S,378
218.40,Departure,1,S,65
218.50,Departure,5,S,379
218.70,Departure,1,S,68
219.00,Departure,1,S,69
219.30,Departure,1,S,70
220.19,Arrival,3,W,485
220.93,Arrival,1,S,72
220.93,Exit,1,E,72
221.06,Arrival,2,S,387
221.06,Departure,2,S,387
221.48,Arrival,1,W,324
221.49,Arrival,1,E,388
221.94,Exit,5,N,432
222.24,Exit,5,N,1
222.54,Exit,5,N,4
222.84,Exit,5,N,5
223.14,Exit,5,N,373
223.44,Exit,5,N,374
223.74,Exit,5,N,375
224.04,Exit,5,N,377
224.13,Arrival,3,W,486
224.24,Arrival,1,S,73
224.34,Exit,5,N,378
224.50,Arrival,5,E,697
224.63,Arrival,5,S,528
224.63,Arrival,5,S,474
224.63,Departure,5,S,528
224.64,Exit,5,N,379
224.93,Arrival,5,S,529
224.93,Arrival,5,S,475
224.93,Departure,5,S,474
225.23,Arrival,5,S,476
225.23,Arrival,5,S,530
225.23,Departure,5,S,529
225.53,Arrival,5,S,531
225.53,Arrival,5,S,477
225.53,Departure,5,S,475
225.53,Exit,5,E,477
225.83,Arrival,5,S,532
225.83,Departure,5,S,530
225.83,Arrival,5,S,478
226.13,Arrival,5,S,479
226.13,Departure,5,S,531
226.13,Arrival,5,S,533
226.43,Arrival,5,S,534
226.43,Departure,5,S,532
226.43,Arrival,5,S,480
226.72,Arrival,3,S,437
226.72,Departure,3,S,437
226.73,Arrival,5,S,535
226.73,Departure,5,S,478
227.03,Arrival,5,S,536
227.03,Departure,5,S,479
227.03,Exit,5,E,536
227.24,Arrival,3,W,487
227.33,Departure,5,S,533
227.63,Departure,5,S,480
227.68,Arrival,5,S,537
227.93,Departure,5,S,535
229.61,Arrival,1,W,325
230.77,Exit,5,N,528
231.03,Arrival,1,W,326
231.07,Exit,5,N,474
231.37,Exit,5,N,529
231.67,Exit,5,N,475
231.97,Exit,5,N,530
232.27,Exit,5,N,531
232.57,Exit,5,N,532
232.64,Arrival,1,E,389
232.87,Exit,5,N,478
233.17,Exit,5,N,479
233.47,Exit,5,N,533
233.63,Arrival,1,S,74
233.63,Departure,1,S,74
233.77,Exit,5,N,480
234.07,Exit,5,N,535
235.58,Arrival,5,E,698
236.27,Arrival,3,S,39
236.27,Departure,3,S,39
236.57,Arrival,3,S,40
236.57,Departure,3,S,40
236.87,Arrival,3,S,41
236.87,Departure,3,S,41
237.03,Arrival,2,W,439
237.17,Arrival,3,S,311
237.17,Departure,3,S,311
237.47,Arrival,3,S,312
237.47,Departure,3,S,312
237.77,Arrival,3,S,313
237.77,Departure,3,S,313
238.07,Arrival,3,S,315
238.07,Departure,3,S,315
238.37,Arrival,3,S,317
238.37,Departure,3,S,317
238.40,Arrival,1,S,75
238.40,Departure,1,S,75
238.41,Arrival,5,S,481
238.53,Arrival,5,S,482
238.53,Departure,5,S,482
238.67,Arrival,3,S,380
238.67,Departure,3,S,380
238.97,Arrival,3,S,381
238.97,Departure,3,S,381
239.27,Arrival,3,S,382
239.27,Departure,3,S,382
239.57,Arrival,3,S,383
239.57,Departure,3,S,383
239.72,Arrival,2,S,42
239.72,Departure,2,S,42
239.87,Arrival,3,S,384
239.87,Departure,3,S,384
240.02,Arrival,2,S,44
240.02,Departure,2,S,44
240.17,Arrival,3,S,385
240.17,Exit,3,W,385
240.32,Arrival,2,S,45
240.32,Departure,2,S,45
240.46,Arrival,1,S,76
240.62,Arrival,2,S,46
240.62,Departure,2,S,46
240.92,Arrival,2,S,49
240.92,Departure,2,S,49
241.10,Arrival,5,S,538
241.10,Departure,5,S,538
241.22,Arrival,2,S,51
241.22,Departure,2,S,51
241.49,Arrival,3,S,386
241.49,Departure,3,S,386
241.52,Arrival,2,S,52
241.52,Departure,2,S,52
241.82,Arrival,2,S,53
241.82,Departure,2,S,53
241.90,Arrival,5,S,483
242.12,Arrival,2,S,54
242.12,Departure,2,S,54
242.42,Arrival,2,S,55
242.42,Departure,2,S,55
242.72,Arrival,2,S,57
242.72,Departure,2,S,57
243.02,Arrival,2,S,59
243.02,Departure,2,S,59
243.32,Arrival,2,S,60
243.32,Departure,2,S,60
243.35,Arrival,3,E,541
243.62,Arrival,2,S,62
243.62,Departure,2,S,62
243.88,Arrival,1,S,77
243.88,Departure,1,S,77
243.92,Arrival,2,S,63
243.92,Departure,2,S,63
244.22,Arrival,2,S,64
244.22,Departure,2,S,64
244.52,Arrival,2,S,65
244.52,Departure,2,S,65
244.67,Exit,5,N,482
244.82,Arrival,2,S,68
244.82,Departure,2,S,68
244.90,RedSouth,2,N,null
244.90,RedSouth,2,W,null
245.12,Arrival,2,S,69
245.42,Arrival,2,S,70
245.62,Arrival,5,W,614
247.24,Exit,5,N,538
248.31,Arrival,5,W,615
248.54,Arrival,5,W,616
248.81,Arrival,1,S,78
248.81,Departure,1,S,78
249.37,Arrival,5,W,617
250.32,Arrival,5,W,618
251.61,Arrival,5,S,539
251.61,Departure,5,S,539
251.86,Arrival,1,S,79
251.86,Departure,1,S,79
